title,release_year,certificate,run_time,rating
119. L.A. Confidential,1997,R,2h 18m,8.2
120. Bicycle Thieves,1948,Not Rated,1h 29m,8.3
121. Snatch,2000,R,1h 42m,8.2
122. Like Stars on Earth,2007,PG,2h 45m,8.3
123. Taxi Driver,1976,R,1h 54m,8.2
124. 1917,2019,R,1h 59m,8.2
125. Downfall,2004,R,2h 36m,8.2
126. Dangal,2016,Not Rated,2h 41m,8.3
127. Top Gun: Maverick,2022,PG-13,2h 10m,8.3
128. For a Few Dollars More,1965,R,2h 12m,8.2
129. Batman Begins,2005,PG-13,2h 20m,8.2
130. Some Like It Hot,1959,Passed,2h 1m,8.2
131. The Kid,1921,Passed,1h 8m,8.2
132. The Wolf of Wall Street,2013,R,3h,8.2
133. The Father,2020,PG-13,1h 37m,8.2
134. Green Book,2018,PG-13,2h 10m,8.2
135. All About Eve,1950,Passed,2h 18m,8.2
136. Judgment at Nuremberg,1961,Approved,2h 59m,8.3
137. The Truman Show,1998,PG,1h 43m,8.2
138. Ran,1985,R,2h 42m,8.2
139. Casino,1995,R,2h 58m,8.2
140. There Will Be Blood,2007,R,2h 38m,8.2
141. Shutter Island,2010,R,2h 18m,8.2
142. Pan's Labyrinth,2006,R,1h 58m,8.2
143. Unforgiven,1992,R,2h 10m,8.2
144. The Sixth Sense,1999,PG-13,1h 47m,8.2
145. Jurassic Park,1993,PG-13,2h 7m,8.2
146. A Beautiful Mind,2001,PG-13,2h 15m,8.2
147. The Treasure of the Sierra Madre,1947,Passed,2h 6m,8.2
148. Yojimbo,1961,Not Rated,1h 50m,8.2
149. No Country for Old Men,2007,R,2h 2m,8.2
150. Monty Python and the Holy Grail,1975,PG,1h 31m,8.2
151. Kill Bill: Vol. 1,2003,R,1h 51m,8.2
152. The Great Escape,1963,Approved,2h 52m,8.2
153. The Thing,1982,16+,1h 49m,8.2
154. Rashomon,1950,Not Rated,1h 28m,8.2
155. Finding Nemo,2003,G,1h 40m,8.2
156. The Elephant Man,1980,PG,2h 4m,8.2
157. Chinatown,1974,R,2h 10m,8.2
158. Spider-Man: No Way Home,2021,PG-13,2h 28m,8.2
159. V for Vendetta,2005,R,2h 12m,8.2
