title,release_year,certificate,run_time,genre,rating,gross (USD),votes,director,description
Ready to Rumble,2000,PG-13,107 min,"Comedy, Sport",5.3,$12.37M,"14,631",Brian Robbins,Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.
Munich,2005,R,164 min,"Action, Drama, History",7.5,$47.40M,"229,361",Steven Spielberg,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day."
Fight Club,1999,R,139 min,Drama,8.8,$37.03M,"2,131,945",David Fincher,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Forrest Gump,1994,PG-13,142 min,"Drama, Romance",8.8,$330.25M,"2,085,245",Robert Zemeckis,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Ace Ventura: Pet Detective,1994,PG-13,86 min,Comedy,6.9,$72.22M,"306,065",Tom Shadyac,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
Tommy Boy,1995,PG-13,97 min,"Adventure, Comedy",7.1,$32.70M,"89,894",Peter Segal,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business."
A Beautiful Mind,2001,PG-13,135 min,"Biography, Drama",8.2,$170.74M,"936,241",Ron Howard,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
The Boondock Saints,1999,R,108 min,"Action, Thriller",7.7,$0.03M,"241,009",Troy Duffy,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
One Hour Photo,2002,R,96 min,"Drama, Thriller",6.8,$31.60M,"125,109",Mark Romanek,A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.
Catch Me If You Can,2002,PG-13,141 min,"Biography, Crime, Drama",8.1,$164.62M,"989,376",Steven Spielberg,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Mr. Brooks,2007,R,120 min,"Crime, Drama, Thriller",7.3,$28.48M,"151,851",Bruce A. Evans,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.
Shutter Island,2010,R,138 min,"Mystery, Thriller",8.2,$128.01M,"1,321,436",Martin Scorsese,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
