title,release_year,certificate,run_time,genre,rating,gross (USD),votes,director,description
Elf,2003,PG,97 min,"Adventure, Comedy, Family",7.1,$173.40M,"283,907",Jon Favreau,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
Scarface,1983,R,170 min,"Crime, Drama",8.3,$45.60M,"845,789",Brian De Palma,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Mission: Impossible,1996,PG-13,110 min,"Action, Adventure, Thriller",7.1,$180.98M,"430,749",Brian De Palma,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
Meet the Parents,2000,PG-13,108 min,"Comedy, Romance",7,$166.24M,"338,967",Jay Roach,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
Fracture,2007,R,113 min,"Crime, Drama, Thriller",7.2,$39.02M,"208,276",Gregory Hoblit,An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
Street Kings,2008,R,109 min,"Action, Crime, Thriller",6.8,$26.42M,"115,424",David Ayer,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself."
Mrs. Doubtfire,1993,PG-13,125 min,"Comedy, Drama",7.1,$219.20M,"271,223",Chris Columbus,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
X-Men,2000,PG-13,104 min,"Action, Adventure, Sci-Fi",7.3,$157.30M,"619,511",Bryan Singer,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
Little Giants,1994,PG,107 min,"Comedy, Family, Sport",6.4,$19.29M,"29,269",Duwayne Dunham,"Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother."
The Nutty Professor,1996,PG-13,95 min,"Comedy, Romance, Sci-Fi",5.7,$128.81M,"118,695",Tom Shadyac,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
Willy Wonka & the Chocolate Factory,1971,G,100 min,"Family, Fantasy, Musical",7.8,$4.00M,"205,177",Mel Stuart,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
Inglourious Basterds,2009,R,153 min,"Adventure, Drama, War",8.3,$120.54M,"1,455,333",Quentin Tarantino,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
The Kingdom,2007,R,110 min,"Action, Drama, Thriller",7,$47.54M,"126,835",Peter Berg,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.
Insomnia,2002,R,118 min,"Drama, Mystery, Thriller",7.2,$67.36M,"298,398",Christopher Nolan,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.
The Fugitive,1993,PG-13,130 min,"Action, Crime, Drama",7.8,$183.88M,"298,500",Andrew Davis,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
The Replacements,2000,PG-13,118 min,"Comedy, Sport",6.6,$44.74M,"66,167",Howard Deutch,"During a pro football strike, the owners hire substitute players."
Super Troopers,2001,R,100 min,"Comedy, Crime, Mystery",7,$18.49M,"106,745",Jay Chandrasekhar,"Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
Ferris Bueller's Day Off,1986,PG-13,103 min,Comedy,7.8,$70.14M,"362,652",John Hughes,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6,$88.51M,"376,735",Spike Lee,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
The Avengers,2012,PG-13,143 min,"Action, Adventure, Sci-Fi",8,$623.28M,"1,395,139",Joss Whedon,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Along Came a Spider,2001,R,104 min,"Drama, Thriller",6.4,$74.08M,"89,107",Lee Tamahori,"When a senator's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner."
The Untouchables,1987,R,119 min,"Crime, Drama, Thriller",7.8,$76.27M,"313,183",Brian De Palma,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
Speed,1994,R,116 min,"Action, Adventure, Thriller",7.3,$121.25M,"368,085",Jan de Bont,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
Gone in 60 Seconds,2000,PG-13,118 min,"Action, Crime, Thriller",6.5,$101.65M,"281,633",Dominic Sena,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
Angels & Demons,2009,PG-13,138 min,"Action, Mystery, Thriller",6.7,$133.38M,"296,223",Ron Howard,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
Dogma,1999,R,130 min,"Adventure, Comedy, Drama",7.3,$30.65M,"220,163",Kevin Smith,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.
The Sandlot,1993,PG,101 min,"Comedy, Drama, Family",7.8,$32.42M,"94,192",David Mickey Evans,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Men in Black,1997,PG-13,98 min,"Action, Adventure, Comedy",7.3,$250.69M,"573,621",Barry Sonnenfeld,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.
Narc,2002,R,105 min,"Crime, Drama, Mystery",7.1,$10.46M,"41,582",Joe Carnahan,When the trail goes cold on a murder investigation of a policeman an undercover narcotics officer is lured back to the force to help solve the case.
Fallen,1998,R,124 min,"Action, Crime, Drama",7,$25.19M,"84,955",Gregory Hoblit,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style."
Grandma's Boy,2006,R,94 min,Comedy,6.9,$6.09M,"84,819",Nicholaus Goossen,A thirty-five-year-old video game tester has to move in with his grandma and her two old lady roommates.
State of Play,2009,PG-13,127 min,"Crime, Drama, Mystery",7.1,$37.02M,"154,257",Kevin Macdonald,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend."
The Bourne Supremacy,2004,PG-13,108 min,"Action, Mystery, Thriller",7.7,$176.24M,"467,046",Paul Greengrass,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
Point Break,1991,R,122 min,"Action, Crime, Thriller",7.2,$43.22M,"186,346",Kathryn Bigelow,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
Taken,I 2008,PG-13,90 min,"Action, Crime, Thriller",7.8,$145.00M,"606,917",Pierre Morel,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
Big,1988,PG,104 min,"Comedy, Drama, Fantasy",7.3,$114.97M,"224,539",Penny Marshall,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
The Butterfly Effect,2004,R,113 min,"Drama, Sci-Fi, Thriller",7.6,$57.94M,"493,541",Eric Bress,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
Saving Silverman,2001,PG-13,90 min,"Comedy, Crime, Romance",5.8,$19.35M,"41,057",Dennis Dugan,A pair of buddies conspire to save their best friend from marrying the wrong woman.
Untraceable,2008,R,101 min,"Crime, Mystery, Thriller",6.2,$28.69M,"51,286",Gregory Hoblit,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal."
War of the Worlds,2005,PG-13,116 min,"Action, Adventure, Sci-Fi",6.5,$234.28M,"452,559",Steven Spielberg,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
V for Vendetta,2005,R,132 min,"Action, Drama, Sci-Fi",8.2,$70.51M,"1,125,791",James McTeigue,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Armageddon,1998,PG-13,151 min,"Action, Adventure, Sci-Fi",6.7,$201.57M,"429,846",Michael Bay,"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet."
A Time to Kill,1996,R,149 min,"Crime, Drama, Thriller",7.5,$108.77M,"163,747",Joel Schumacher,"In Clanton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan."
Copycat,1995,R,123 min,"Drama, Mystery, Thriller",6.6,$32.05M,"61,032",Jon Amiel,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
Cast Away,2000,PG-13,143 min,"Adventure, Drama, Romance",7.8,$233.63M,"596,899",Robert Zemeckis,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
The Dark Knight Rises,2012,PG-13,164 min,"Action, Drama",8.4,$448.14M,"1,709,717",Christopher Nolan,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
Bull Durham,1988,R,108 min,"Comedy, Romance, Sport",7,$50.89M,"55,725",Ron Shelton,A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.
We Were Soldiers,2002,R,138 min,"Action, Drama, History",7.1,$78.12M,"144,071",Randall Wallace,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news."
Evolution,2001,PG-13,101 min,"Comedy, Sci-Fi",6.1,$38.35M,"130,525",Ivan Reitman,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor."
Lincoln,2012,PG-13,150 min,"Biography, Drama, History",7.3,$182.21M,"262,666",Steven Spielberg,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
The Green Mile,1999,R,189 min,"Crime, Drama, Fantasy",8.6,$136.80M,"1,306,089",Frank Darabont,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Kiss Kiss Bang Bang,2005,R,103 min,"Comedy, Crime, Mystery",7.5,$4.24M,"229,273",Shane Black,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery."
Jay and Silent Bob Strike Back,2001,R,104 min,Comedy,6.8,$30.09M,"156,568",Kevin Smith,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie."
American Pie,1999,R,95 min,Comedy,7,$102.56M,"410,978",Paul Weitz,Four teenage boys enter a pact to lose their virginity by prom night.
"Mystery, Alaska",1999,R,119 min,"Comedy, Drama, Sport",6.7,$8.89M,"27,456",Jay Roach,The residents of a small town get over-excited when their hockey team gets chosen to host a televised event.
Thor,2011,PG-13,115 min,"Action, Adventure, Fantasy",7,$181.03M,"853,756",Kenneth Branagh,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
Due Date,2010,R,95 min,"Comedy, Drama",6.5,$100.54M,"346,481",Todd Phillips,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.
Jumanji,1995,PG,104 min,"Adventure, Comedy, Family",7,$100.48M,"350,772",Joe Johnston,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
What Women Want,2000,PG-13,127 min,"Comedy, Fantasy, Romance",6.4,$182.81M,"210,582",Nancy Meyers,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
Old School,2003,R,88 min,Comedy,7,$75.59M,"234,665",Todd Phillips,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.
Training Day,2001,R,122 min,"Action, Crime, Drama",7.7,$76.63M,"440,961",Antoine Fuqua,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
Top Gun,1986,PG,109 min,"Action, Drama",6.9,$179.80M,"452,896",Tony Scott,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
Friday,1995,R,91 min,"Comedy, Drama",7.2,$27.47M,"115,873",F. Gary Gray,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
Full Metal Jacket,1987,R,116 min,"Drama, War",8.3,$46.36M,"746,147",Stanley Kubrick,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8,$1.48M,"806,040",Richard Kelly,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Dirty Work,1998,PG-13,82 min,Comedy,6.4,$9.98M,"28,370",Bob Saget,A loser finds success in the revenge-for-hire business.
Transformers,2007,PG-13,144 min,"Action, Adventure, Sci-Fi",7,$319.25M,"642,529",Michael Bay,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
Crash,I 2004,R,112 min,"Crime, Drama, Thriller",7.8,$54.58M,"438,568",Paul Haggis,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
The Mummy,1999,PG-13,124 min,"Action, Adventure, Fantasy",7.1,$155.25M,"434,167",Stephen Sommers,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
The Devil's Rejects,2005,R,107 min,"Crime, Horror, Western",6.7,$17.04M,"101,764",Rob Zombie,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
Slap Shot,1977,R,123 min,"Comedy, Drama, Sport",7.3,$28.00M,"38,328",George Roy Hill,A failing ice hockey team finds success with outrageously violent hockey goonery.
Ocean's Eleven,2001,PG-13,116 min,"Crime, Thriller",7.7,$183.42M,"579,763",Steven Soderbergh,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
Lucky Number Slevin,2006,R,110 min,"Crime, Drama, Thriller",7.7,$22.49M,"315,646",Paul McGuigan,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Despicable Me,2010,PG,95 min,"Comedy, Crime, Thriller",6.7,$12.59M,"45,378",Richard Shepard,A globetrotting hitman and a crestfallen businessman meet in a hotel bar in Mexico City in an encounter that draws them together in a way neither expected.
Blow,2001,R,124 min,"Biography, Crime, Drama",7.5,$52.99M,"263,268",Ted Demme,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States."
Predator,1987,R,107 min,"Action, Adventure, Horror",7.8,$59.74M,"427,180",John McTiernan,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
Hoosiers,1986,PG,114 min,"Drama, Sport",7.4,$28.61M,"47,989",David Anspaugh,A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.
Back to the Future,1985,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,$210.61M,"1,210,058",Robert Zemeckis,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
There Will Be Blood,2007,R,158 min,Drama,8.2,$40.22M,"590,438",Paul Thomas Anderson,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
GoldenEye,1995,PG-13,130 min,"Action, Adventure, Thriller",7.2,$106.60M,"259,647",Martin Campbell,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it."
Constantine,2005,R,121 min,"Action, Fantasy, Horror",7,$75.98M,"350,781",Francis Lawrence,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
Reindeer Games,2000,R,104 min,"Action, Adventure, Crime",5.8,$23.36M,"40,803",John Frankenheimer,"After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist."
Screwed,2000,PG-13,81 min,"Comedy, Crime",5.6,$7.03M,"9,242",Scott Alexander,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped."
Jack,1996,PG-13,113 min,"Comedy, Drama, Fantasy",5.8,$58.62M,"61,484",Francis Ford Coppola,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled."
Reign of Fire,2002,PG-13,101 min,"Action, Adventure, Fantasy",6.2,$43.06M,"138,522",Rob Bowman,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet."
Matchstick Men,2003,PG-13,116 min,"Comedy, Crime, Drama",7.3,$36.91M,"132,773",Ridley Scott,A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.
Stranger Than Fiction,2006,PG-13,113 min,"Comedy, Drama, Fantasy",7.6,$40.14M,"230,570",Marc Forster,"I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
Vantage Point,2008,PG-13,90 min,"Action, Crime, Drama",6.6,$72.27M,"151,343",Pete Travis,The attempted assassination of the American President is told and re-told from several different perspectives.
Life,I 1999,R,108 min,"Comedy, Crime, Drama",6.7,$63.84M,"51,637",Ted Demme,"In 1932, two strangers are wrongfully convicted and develop a strong friendship in prison that lasts them through the 20th century."
Swordfish,2001,R,99 min,"Action, Crime, Thriller",6.5,$69.77M,"189,508",Dominic Sena,"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him."
Jerry Maguire,1996,R,139 min,"Comedy, Drama, Romance",7.3,$153.95M,"269,972",Cameron Crowe,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
Blade,1998,R,120 min,"Action, Horror, Sci-Fi",7.1,$70.09M,"278,576",Stephen Norrington,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
The Punisher,2004,R,124 min,"Action, Crime, Drama",6.4,$33.68M,"162,353",Jonathan Hensleigh,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.
National Treasure,2004,PG,131 min,"Action, Adventure, Mystery",6.9,$173.01M,"337,344",Jon Turteltaub,A historian races to find the legendary Templar Treasure before a team of mercenaries.
Maverick,1994,PG,127 min,"Action, Adventure, Comedy",7,$101.63M,"113,513",Richard Donner,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
Big Daddy,1999,PG-13,93 min,"Comedy, Drama",6.4,$163.48M,"220,801",Dennis Dugan,"A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108 min,"Comedy, Sport",6.6,$148.21M,"187,698",Adam McKay,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
The Score,2001,R,124 min,"Action, Crime, Drama",6.8,$71.07M,"129,552",Frank Oz,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.
Hostel,2005,R,94 min,Horror,5.9,$47.33M,"182,699",Eli Roth,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
The Bourne Ultimatum,2007,PG-13,115 min,"Action, Mystery, Thriller",8,$227.47M,"637,796",Paul Greengrass,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
Traffic,2000,R,147 min,"Crime, Drama, Thriller",7.6,$124.12M,"209,317",Steven Soderbergh,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
The Longest Yard,2005,PG-13,113 min,"Comedy, Crime, Sport",6.4,$158.12M,"182,298",Peter Segal,Prison inmates form a football team to challenge the prison guards.
Night at the Museum,2006,PG,108 min,"Adventure, Comedy, Family",6.4,$250.86M,"353,604",Shawn Levy,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
The Santa Clause,1994,PG,97 min,"Comedy, Drama, Family",6.5,$144.83M,"123,820",John Pasquin,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place."
From Hell,2001,R,122 min,"Horror, Mystery, Thriller",6.7,$31.60M,"157,760",Albert Hughes,"In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper."
Pitch Black,2000,R,109 min,"Action, Horror, Sci-Fi",7.1,$39.24M,"242,547",David Twohy,A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.
True Lies,1994,R,141 min,"Action, Comedy, Thriller",7.3,$146.28M,"263,062",James Cameron,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
The Sixth Man,1997,PG-13,107 min,"Comedy, Drama, Fantasy",5.6,$14.71M,"6,045",Randall Miller,A college athlete returns from the dead to help his brother's basketball team win the NCAA title.
Con Air,1997,R,115 min,"Action, Crime, Thriller",6.9,$101.12M,"303,106",Simon West,Newly-paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner-transport plane when the passengers seize control.
Bad Boys,1995,R,119 min,"Action, Comedy, Crime",6.8,$65.81M,"269,199",Michael Bay,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
After the Sunset,2004,PG-13,97 min,"Action, Comedy, Crime",6.2,$28.33M,"48,250",Brett Ratner,"The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that."
The Bone Collector,1999,R,118 min,"Crime, Drama, Mystery",6.7,$66.52M,"172,899",Phillip Noyce,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
Ronin,1998,R,122 min,"Action, Crime, Thriller",7.2,$41.62M,"186,095",John Frankenheimer,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.
Behind Enemy Lines,2001,PG-13,106 min,"Action, Drama, Thriller",6.4,$59.07M,"107,247",John Moore,"A disillusioned pilot shot down over war-torn Bosnia is ensnared in the conflict in war-torn Bosnia. In the crosshairs of the enemy and an assassin, the spoiled pilot runs for his life as his commanding officer risks all to save him."
Snake Eyes,1998,R,98 min,"Crime, Mystery, Thriller",6.1,$55.59M,"83,038",Brian De Palma,A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.
Casper,1995,PG,100 min,"Comedy, Family, Fantasy",6.1,$100.33M,"137,331",Brad Silberling,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
Charlie and the Chocolate Factory,2005,PG,115 min,"Adventure, Comedy, Family",6.7,$206.46M,"487,494",Tim Burton,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
Field of Dreams,1989,PG,107 min,"Drama, Family, Fantasy",7.5,$64.43M,"121,022",Phil Alden Robinson,"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true."
The Net,I 1995,PG-13,114 min,"Action, Crime, Drama",5.9,$50.73M,"69,319",Irwin Winkler,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
The Italian Job,2003,PG-13,111 min,"Action, Crime, Thriller",7,$106.13M,"372,094",F. Gary Gray,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
Reign Over Me,2007,R,124 min,Drama,7.4,$19.66M,"97,473",Mike Binder,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.
The Fifth Element,1997,PG-13,126 min,"Action, Adventure, Sci-Fi",7.6,$63.54M,"477,801",Luc Besson,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Entrapment,1999,PG-13,113 min,"Action, Crime, Romance",6.3,$87.70M,"117,764",Jon Amiel,An insurance agent is sent by her employer to track down and help capture an art thief.
Face/Off,1997,R,138 min,"Action, Crime, Sci-Fi",7.3,$112.23M,"381,128",John Woo,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge."
